,country,province,region_1,Lat,Lng
27076,Spain,Northern Spain,Bizkaiko Txakolina,40.46366700000001,-3.74922
27230,Spain,Central Spain,Extremadura,39.4937392,-6.0679194
27461,Italy,Southern Italy,Vesuvio,40.82238299999999,14.4289058
27583,Australia,New South Wales,Mudgee,-32.6144566,149.5733291
27623,Spain,Catalonia,Tarragona,41.1188827,1.2444909
27826,France,Languedoc-Roussillon,Fitou,42.893306,2.978041
27931,Italy,Southern Italy,Gravina,40.8171447,16.418512
28343,France,Burgundy,Bourgogne Grand Ordinaire,47.084575,4.851313
28442,Spain,Northern Spain,Arlanza,42.0937118,-3.8248241
28476,US,California,Monterey-Santa Barbara-Sonoma,38.4875235,-122.4493985
28507,US,Michigan,Leelanau Peninsula,44.79383199999999,-85.638108
29240,France,Loire Valley,Savennières,47.383101,-0.656999
29472,Italy,Central Italy,Colli di Rimini,44.0678288,12.5695158
29559,US,Pennsylvania,Pennsylvania,41.2033216,-77.1945247
29562,Italy,Southern Italy,Primitivo del Salento,40.42336419999999,17.9531836
29567,US,Iowa,Iowa,41.8780025,-93.097702
29628,Italy,Central Italy,San Marino,43.94236,12.457777
29891,France,Loire Valley,Coteaux du Layon La Faye,47.302297,-0.550947
29931,Argentina,Mendoza Province,San Carlos,-34.0145518,-69.1923916
29973,Australia,Victoria,Gippsland,-37.5831982,147.4627259
30014,Spain,Spain Other,Vino de Mesa,40.46366700000001,-3.74922
30213,France,Loire Valley,Coteaux du Layon,47.213041,-0.5296782999999999
30242,Italy,Central Italy,Rosso Piceno Superiore,42.8536043,13.5749442
30459,Italy,Southern Italy,Cilento,40.288587,15.3608494
30568,US,California,Mendocino-Solano,38.10820289999999,-122.233111
30850,Italy,Piedmont,Verduno,44.66561189999999,7.929539600000001
30858,France,Loire Valley,Bonnezeaux,47.276972,-0.485391
30865,Italy,Central Italy,Offida Rosso,42.9408629,13.6965046
31076,Italy,Southern Italy,Paestum,40.431988,15.049579
31104,Spain,Northern Spain,Vino de la Tierra de Zamora,41.5086305,-5.751006599999999
31149,Australia,South Australia,Barossa Valley-Clare Valley,-34.5333333,138.95
31162,Italy,Central Italy,Conero Riserva,41.87194,12.56738
31277,France,Loire Valley,Saumur-Champigny,47.2365721,-0.0077938
31370,US,California,Hames Valley,35.8744105,-120.8346229
31525,Australia,South Australia,Limestone Coast,-36.7235617,140.3481835
31530,Australia,Victoria,Murray-Darling,-35.4092603,143.762027
31559,Italy,Tuscany,Sangiovese di Toscana,42.996863,10.998215
31751,US,California,Trinity County,40.6329485,-123.0622553
31818,US,California,North Yuba,39.3685029,-121.1363446
31959,Italy,Veneto,Prosecco Superiore di Cartizze,45.877286,12.034054
