country,points,price,happy_score,avg_income,winery_count,variety_count,pop_2017_million
Argentina,86.45421903052065,23.82072326237497,6.59899997711182,11970.0,371,59,44.3
Australia,88.3746598125189,36.85757484124584,7.28399991989136,54230.0,384,76,24.5
Canada,88.33566433566433,39.95804195804196,7.31599998474121,43880.0,35,24,36.7
France,88.86103051525762,45.536068034017006,6.44199991226196,38720.0,1452,109,65.0
Italy,88.67396811205484,40.149158098644016,5.96400022506714,31700.0,1831,162,60.5
Spain,86.816787982035,29.281554901657117,6.40299987792969,27580.0,1103,107,46.6
US,88.31534410024712,37.47135618182272,6.993000030517581,56850.0,3528,190,325.4
